"ID","Group","Subject","Initials","Item number","Stimulus filename","Stimulus gender","Condition","Participant response","Reaction time","Accuracy","Response - Auditory","Response - Visual","Response - Fused","Response descriptor"
"C,1,EB","C","1","EB","39","mik_Bg.avi","Male","AV_M","2","-2032.05",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","42","mik_Db.avi","Male","AV_M","4","-2390.07",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","41","mik_Da.avi","Male","AO","4","2087.26",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","45","mik_Ga.avi","Male","AO","4","-2388.01",0,0,-1,-1,"Incorrect"
"C,1,EB","C","1","EB","34","lor_Gb.avi","Female","AV_M","7","-2216.45",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","31","lor_Dd.avi","Female","AV_C","4","2570.22",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","33","lor_Ga.avi","Female","AO","7","3163.51",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","29","lor_Da.avi","Female","AO","7","-2297.50",0,0,-1,-1,"Incorrect"
"C,1,EB","C","1","EB","38","mik_Bb.avi","Male","AV_C","2","1739.41",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","30","lor_Db.avi","Female","AV_M","7","-2487.50",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","35","lor_Gg.avi","Female","AV_C","7","2031.23",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","44","mik_Dv.avi","Male","VO","4","4532.30",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","27","lor_Bg.avi","Female","AV_M","2","-2088.50",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","32","lor_Dv.avi","Female","VO","2","-3395.48",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","37","mik_Ba.avi","Male","AO","2","2178.02",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","28","lor_Bv.avi","Female","VO","4","-2929.29",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","47","mik_Gg.avi","Male","AV_C","4","-3513.87",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","25","lor_Ba.avi","Female","AO","2","2265.07",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","43","mik_Dd.avi","Male","AV_C","4","2658.39",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","40","mik_Bv.avi","Male","VO","2","3590.59",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","26","lor_Bb.avi","Female","AV_C","2","2105.09",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","46","mik_Gb.avi","Male","AV_M","4","1913.81",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","14","mik_Bb.avi","Male","AV_C","2","4213.12",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","11","lor_Gg.avi","Female","AV_C","7","2492.63",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","17","mik_Da.avi","Male","AO","4","1878.67",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","3","lor_Bg.avi","Female","AV_M","2","-1854.47",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","23","mik_Gg.avi","Male","AV_C","4","-2243.89",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","15","mik_Bg.avi","Male","AV_M","2","-2091.63",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","5","lor_Da.avi","Female","AO","4","2650.60",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","4","lor_Bv.avi","Female","VO","4","-3748.90",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","18","mik_Db.avi","Male","AV_M","4","-2287.09",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","6","lor_Db.avi","Female","AV_M","4","-2320.77",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","10","lor_Gb.avi","Female","AV_M","7","-3257.97",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","19","mik_Dd.avi","Male","AV_C","4","2677.60",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","12","lor_Gv.avi","Female","VO","4","-4822.95",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","1","lor_Ba.avi","Female","AO","2","2512.37",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","24","mik_Gv.avi","Male","VO","7","7539.86",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","20","mik_Dv.avi","Male","VO","2","-9631.01",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","21","mik_Ga.avi","Male","AO","7","2960.69",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","16","mik_Bv.avi","Male","VO","2","3224.74",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","8","lor_Dv.avi","Female","VO","7","-4956.32",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","9","lor_Ga.avi","Female","AO","7","2604.05",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","2","lor_Bb.avi","Female","AV_C","2","2205.49",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","22","mik_Gb.avi","Male","AV_M","4","2685.12",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","13","mik_Ba.avi","Male","AO","2","2195.79",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","7","lor_Dd.avi","Female","AV_C","4","3597.92",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","93","mik_Ga_4dB.avi","Male","AO","4","-2332.22",0,0,-1,-1,"Incorrect"
"C,1,EB","C","1","EB","80","lor_Dv_4dB.avi","Female","VO","2","-3171.16",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","74","lor_Bb_4dB.avi","Female","AV_C","2","2976.15",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","95","mik_Gg_4dB.avi","Male","AV_C","4","-2594.79",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","78","lor_Db_4dB.avi","Female","AV_M","4","-3516.55",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","83","lor_Gg_4dB.avi","Female","AV_C","4","-2451.78",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","89","mik_Da_4dB.avi","Male","AO","4","2592.94",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","77","lor_Da_4dB.avi","Female","AO","4","2401.35",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","88","mik_Bv_4dB.avi","Male","VO","2","2720.90",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","81","lor_Ga_4dB.avi","Female","AO","4","-3042.06",0,0,-1,-1,"Incorrect"
"C,1,EB","C","1","EB","73","lor_Ba_4dB.avi","Female","AO","2","2603.31",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","86","mik_Bb_4dB.avi","Male","AV_C","2","2432.79",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","75","lor_Bg_4dB.avi","Female","AV_M","2","-2179.56",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","87","mik_Bg_4dB.avi","Male","AV_M","2","-3606.51",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","92","mik_Dv_4dB.avi","Male","VO","4","2962.92",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","96","mik_Gv_4dB.avi","Male","VO","7","5500.99",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","90","mik_Db_4dB.avi","Male","AV_M","4","-2879.80",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","84","lor_Gv_4dB.avi","Female","VO","2","-3245.33",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","76","lor_Bv_4dB.avi","Female","VO","4","-5109.90",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","82","lor_Gb_4dB.avi","Female","AV_M","4","2676.61",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","79","lor_Dd_4dB.avi","Female","AV_C","4","2239.35",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","94","mik_Gb_4dB.avi","Male","AV_M","4","2528.58",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","85","mik_Ba_4dB.avi","Male","AO","2","2690.10",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","91","mik_Dd_4dB.avi","Male","AV_C","4","2746.06",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","49","lor_Ba_4dB.avi","Female","AO","2","2269.72",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","52","lor_Bv_4dB.avi","Female","VO","4","-3596.44",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","70","mik_Gb_4dB.avi","Male","AV_M","4","2649.63",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","63","mik_Bg_4dB.avi","Male","AV_M","2","-2779.76",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","61","mik_Ba_4dB.avi","Male","AO","2","2555.64",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","72","mik_Gv_4dB.avi","Male","VO","4","-4334.01",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","69","mik_Ga_4dB.avi","Male","AO","4","-3869.30",0,0,-1,-1,"Incorrect"
"C,1,EB","C","1","EB","67","mik_Dd_4dB.avi","Male","AV_C","4","2720.10",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","58","lor_Gb_4dB.avi","Female","AV_M","4","2513.77",1,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","51","lor_Bg_4dB.avi","Female","AV_M","2","-2199.27",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","57","lor_Ga_4dB.avi","Female","AO","7","3367.84",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","54","lor_Db_4dB.avi","Female","AV_M","4","-3171.12",0,-2,-2,-2,"Ella to fill"
"C,1,EB","C","1","EB","56","lor_Dv_4dB.avi","Female","VO","4","4001.77",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","71","mik_Gg_4dB.avi","Male","AV_C","4","-3835.70",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","65","mik_Da_4dB.avi","Male","AO","4","2921.83",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","60","lor_Gv_4dB.avi","Female","VO","2","-5990.12",0,-1,0,1,"Incorrect"
"C,1,EB","C","1","EB","64","mik_Bv_4dB.avi","Male","VO","2","5898.02",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","53","lor_Da_4dB.avi","Female","AO","4","9123.94",1,1,-1,-1,"Correct"
"C,1,EB","C","1","EB","62","mik_Bb_4dB.avi","Male","AV_C","2","2332.27",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","68","mik_Dv_4dB.avi","Male","VO","4","5577.92",1,-1,1,0,"Correct"
"C,1,EB","C","1","EB","55","lor_Dd_4dB.avi","Female","AV_C","4","3190.45",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","59","lor_Gg_4dB.avi","Female","AV_C","4","-3143.79",0,0,0,-1,"Incorrect"
"C,1,EB","C","1","EB","50","lor_Bb_4dB.avi","Female","AV_C","2","2944.33",1,1,1,-1,"Correct"
"C,1,EB","C","1","EB","66","mik_Db_4dB.avi","Male","AV_M","4","-4196.07",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","36","lor_Gv.avi","Female","VO","2","-3116.15",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","45","mik_Ga.avi","Male","AO","4","-2904.77",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","27","lor_Bg.avi","Female","AV_M","2","-2216.70",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","33","lor_Ga.avi","Female","AO","7","2381.32",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","25","lor_Ba.avi","Female","AO","7","-2695.96",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","28","lor_Bv.avi","Female","VO","2","3102.90",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","30","lor_Db.avi","Female","AV_M","4","-3091.87",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","43","mik_Dd.avi","Male","AV_C","4","2258.85",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","31","lor_Dd.avi","Female","AV_C","4","2114.85",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","39","mik_Bg.avi","Male","AV_M","2","-3384.59",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","38","mik_Bb.avi","Male","AV_C","2","1874.39",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","34","lor_Gb.avi","Female","AV_M","7","-2165.44",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","44","mik_Dv.avi","Male","VO","4","3141.83",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","47","mik_Gg.avi","Male","AV_C","4","-2702.69",0,0,0,-1,"Incorrect"
"D,1,ZL","D","1","ZL","41","mik_Da.avi","Male","AO","4","2633.18",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","48","mik_Gv.avi","Male","VO","4","-2233.80",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","32","lor_Dv.avi","Female","VO","4","2208.05",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","37","mik_Ba.avi","Male","AO","2","2649.97",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","35","lor_Gg.avi","Female","AV_C","7","3144.59",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","29","lor_Da.avi","Female","AO","4","2048.53",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","46","mik_Gb.avi","Male","AV_M","7","-2638.18",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","42","mik_Db.avi","Male","AV_M","4","-2071.81",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","40","mik_Bv.avi","Male","VO","2","2970.72",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","26","lor_Bb.avi","Female","AV_C","2","1825.66",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","23","mik_Gg.avi","Male","AV_C","7","2461.19",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","4","lor_Bv.avi","Female","VO","2","2388.75",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","10","lor_Gb.avi","Female","AV_M","7","-2204.71",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","22","mik_Gb.avi","Male","AV_M","7","-2182.29",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","14","mik_Bb.avi","Male","AV_C","2","2175.29",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","1","lor_Ba.avi","Female","AO","2","4856.15",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","12","lor_Gv.avi","Female","VO","7","4373.92",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","20","mik_Dv.avi","Male","VO","4","2183.53",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","11","lor_Gg.avi","Female","AV_C","7","3064.14",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","16","mik_Bv.avi","Male","VO","2","2127.16",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","18","mik_Db.avi","Male","AV_M","4","-1860.80",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","9","lor_Ga.avi","Female","AO","7","1907.01",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","19","mik_Dd.avi","Male","AV_C","4","1627.04",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","17","mik_Da.avi","Male","AO","2","-1810.23",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","5","lor_Da.avi","Female","AO","4","1777.18",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","3","lor_Bg.avi","Female","AV_M","2","-1713.39",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","13","mik_Ba.avi","Male","AO","2","2092.41",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","6","lor_Db.avi","Female","AV_M","4","-1850.69",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","15","mik_Bg.avi","Male","AV_M","2","-2554.62",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","2","lor_Bb.avi","Female","AV_C","2","2628.18",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","21","mik_Ga.avi","Male","AO","4","-1911.83",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","7","lor_Dd.avi","Female","AV_C","4","2263.74",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","24","mik_Gv.avi","Male","VO","4","-2892.99",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","8","lor_Dv.avi","Female","VO","7","-2686.21",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","50","lor_Bb_4dB.avi","Female","AV_C","2","2042.25",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","52","lor_Bv_4dB.avi","Female","VO","2","2362.86",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","49","lor_Ba_4dB.avi","Female","AO","2","2176.85",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","64","mik_Bv_4dB.avi","Male","VO","7","-2619.48",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","53","lor_Da_4dB.avi","Female","AO","7","-2509.10",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","62","mik_Bb_4dB.avi","Male","AV_C","2","2322.06",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","66","mik_Db_4dB.avi","Male","AV_M","4","-2527.04",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","63","mik_Bg_4dB.avi","Male","AV_M","4","2243.97",1,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","60","lor_Gv_4dB.avi","Female","VO","4","-3550.53",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","51","lor_Bg_4dB.avi","Female","AV_M","7","-2507.73",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","67","mik_Dd_4dB.avi","Male","AV_C","4","2192.35",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","69","mik_Ga_4dB.avi","Male","AO","4","-3053.25",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","59","lor_Gg_4dB.avi","Female","AV_C","7","2094.26",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","57","lor_Ga_4dB.avi","Female","AO","7","3299.83",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","70","mik_Gb_4dB.avi","Male","AV_M","4","2175.14",1,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","58","lor_Gb_4dB.avi","Female","AV_M","7","-1959.39",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","68","mik_Dv_4dB.avi","Male","VO","2","-3620.02",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","56","lor_Dv_4dB.avi","Female","VO","4","2708.12",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","65","mik_Da_4dB.avi","Male","AO","4","2438.10",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","61","mik_Ba_4dB.avi","Male","AO","4","-2351.38",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","54","lor_Db_4dB.avi","Female","AV_M","7","-2215.32",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","71","mik_Gg_4dB.avi","Male","AV_C","7","2066.29",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","72","mik_Gv_4dB.avi","Male","VO","7","2292.17",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","55","lor_Dd_4dB.avi","Female","AV_C","7","-1906.11",0,0,0,-1,"Incorrect"
"D,1,ZL","D","1","ZL","87","mik_Bg_4dB.avi","Male","AV_M","7","-2351.55",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","94","mik_Gb_4dB.avi","Male","AV_M","2","-3001.45",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","79","lor_Dd_4dB.avi","Female","AV_C","7","-2460.09",0,0,0,-1,"Incorrect"
"D,1,ZL","D","1","ZL","91","mik_Dd_4dB.avi","Male","AV_C","4","2329.06",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","90","mik_Db_4dB.avi","Male","AV_M","4","-2803.31",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","82","lor_Gb_4dB.avi","Female","AV_M","7","-2997.22",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","74","lor_Bb_4dB.avi","Female","AV_C","2","2293.57",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","83","lor_Gg_4dB.avi","Female","AV_C","7","1892.43",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","77","lor_Da_4dB.avi","Female","AO","7","-2350.85",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","93","mik_Ga_4dB.avi","Male","AO","7","3388.91",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","86","mik_Bb_4dB.avi","Male","AV_C","2","2330.34",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","96","mik_Gv_4dB.avi","Male","VO","7","2544.28",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","73","lor_Ba_4dB.avi","Female","AO","2","2759.50",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","89","mik_Da_4dB.avi","Male","AO","4","2127.81",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","81","lor_Ga_4dB.avi","Female","AO","7","2512.73",1,1,-1,-1,"Correct"
"D,1,ZL","D","1","ZL","92","mik_Dv_4dB.avi","Male","VO","7","-3576.03",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","88","mik_Bv_4dB.avi","Male","VO","2","2759.53",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","85","mik_Ba_4dB.avi","Male","AO","7","-2462.48",0,0,-1,-1,"Incorrect"
"D,1,ZL","D","1","ZL","80","lor_Dv_4dB.avi","Female","VO","7","-2309.46",0,-1,0,1,"Incorrect"
"D,1,ZL","D","1","ZL","75","lor_Bg_4dB.avi","Female","AV_M","2","-2588.42",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","95","mik_Gg_4dB.avi","Male","AV_C","7","2159.67",1,1,1,-1,"Correct"
"D,1,ZL","D","1","ZL","76","lor_Bv_4dB.avi","Female","VO","2","2384.27",1,-1,1,0,"Correct"
"D,1,ZL","D","1","ZL","78","lor_Db_4dB.avi","Female","AV_M","7","-2322.22",0,-2,-2,-2,"Ella to fill"
"D,1,ZL","D","1","ZL","84","lor_Gv_4dB.avi","Female","VO","4","-3356.97",0,-1,0,1,"Incorrect"
"D,2,IL","D","2","IL","48","mik_Gv.avi","Male","VO","4","-1889.58",0,-1,0,1,"Incorrect"
"D,2,IL","D","2","IL","31","lor_Dd.avi","Female","AV_C","4","2242.81",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","26","lor_Bb.avi","Female","AV_C","2","2088.77",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","35","lor_Gg.avi","Female","AV_C","7","1931.71",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","33","lor_Ga.avi","Female","AO","7","2174.33",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","29","lor_Da.avi","Female","AO","4","2254.63",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","39","mik_Bg.avi","Male","AV_M","2","-2612.24",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","43","mik_Dd.avi","Male","AV_C","4","2329.11",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","28","lor_Bv.avi","Female","VO","2","3222.72",1,-1,1,0,"Correct"
"D,2,IL","D","2","IL","41","mik_Da.avi","Male","AO","4","2441.01",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","44","mik_Dv.avi","Male","VO","4","2010.97",1,-1,1,0,"Correct"
"D,2,IL","D","2","IL","46","mik_Gb.avi","Male","AV_M","7","-2304.04",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","32","lor_Dv.avi","Female","VO","4","2325.47",1,-1,1,0,"Correct"
"D,2,IL","D","2","IL","47","mik_Gg.avi","Male","AV_C","7","2604.88",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","40","mik_Bv.avi","Male","VO","2","2304.94",1,-1,1,0,"Correct"
"D,2,IL","D","2","IL","42","mik_Db.avi","Male","AV_M","4","-2366.16",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","25","lor_Ba.avi","Female","AO","2","2726.14",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","38","mik_Bb.avi","Male","AV_C","2","2518.39",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","27","lor_Bg.avi","Female","AV_M","2","-3745.03",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","34","lor_Gb.avi","Female","AV_M","7","-2068.76",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","36","lor_Gv.avi","Female","VO","7","4240.48",1,-1,1,0,"Correct"
"D,2,IL","D","2","IL","45","mik_Ga.avi","Male","AO","7","2737.75",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","37","mik_Ba.avi","Male","AO","2","2262.00",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","30","lor_Db.avi","Female","AV_M","4","-2638.62",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","18","mik_Db.avi","Male","AV_M","4","-2633.82",0,-2,-2,-2,"Ella to fill"
"D,2,IL","D","2","IL","2","lor_Bb.avi","Female","AV_C","2","2468.45",1,1,1,-1,"Correct"
"D,2,IL","D","2","IL","21","mik_Ga.avi","Male","AO","7","2340.08",1,1,-1,-1,"Correct"
"D,2,IL","D","2","IL","23","mik_Gg.avi","Male","AV_C","2","-2717.98",0,0,0,-1,"Incorrect"
