"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"C,1,EB","C","1","EB","Native","42","4","2","Pa4-Pa2","4752.32",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","43","4","3","Pha1-Pa4","3731.17",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","41","4","1","Pha2-Pha1","3858.00",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","44","4","4","Pa5-Pha1","3868.16",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","21","2","1","Pha5-Pha1","3485.46",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","24","2","4","Pa4-Pha1","3309.74",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","22","2","2","Pa5-Pa2","3684.63",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","23","2","3","Pha2-Pa4","3329.54",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","13","1","3","Pha1-Pa2","3633.59",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","14","1","4","Pa2-Pha5","3721.86",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","12","1","2","Pa2-Pa4","3675.00",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","11","1","1","Pha1-Pha2","3417.50",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","31","3","1","Pha2-Pha5","3302.44",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","33","3","3","Pha5-Pa5","3790.99",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","34","3","4","Pa2-Pha2","4306.87",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","32","3","2","Pa4-Pa5","3432.92",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","12","1","2","Pa2-Pa4","3342.21",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","13","1","3","Pha1-Pa2","3285.74",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","14","1","4","Pa2-Pha5","-3423.42",0,"Different","Same","Miss"
"D,1,ZL","D","1","ZL","Native","11","1","1","Pha1-Pha2","3349.23",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","34","3","4","Pa2-Pha2","3443.05",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","32","3","2","Pa4-Pa5","3107.92",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","33","3","3","Pha5-Pa5","3410.30",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","31","3","1","Pha2-Pha5","2873.31",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","24","2","4","Pa4-Pha1","3363.56",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","22","2","2","Pa5-Pa2","3077.06",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","21","2","1","Pha5-Pha1","3187.40",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","23","2","3","Pha2-Pa4","4563.69",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","43","4","3","Pha1-Pa4","4144.57",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","42","4","2","Pa4-Pa2","3479.60",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","44","4","4","Pa5-Pha1","3123.42",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","41","4","1","Pha2-Pha1","2922.68",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","23","2","3","Pha2-Pa4","-3610.61",0,"Different","Same","Miss"
"D,2,IL","D","2","IL","Native","22","2","2","Pa5-Pa2","3687.85",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","21","2","1","Pha5-Pha1","3797.34",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","24","2","4","Pa4-Pha1","4866.88",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","13","1","3","Pha1-Pa2","3236.72",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","12","1","2","Pa2-Pa4","3786.96",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","11","1","1","Pha1-Pha2","3448.13",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","14","1","4","Pa2-Pha5","4313.55",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","31","3","1","Pha2-Pha5","3366.54",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","34","3","4","Pa2-Pha2","3770.77",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","33","3","3","Pha5-Pa5","4169.54",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","32","3","2","Pa4-Pa5","3425.88",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","41","4","1","Pha2-Pha1","4787.73",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","44","4","4","Pa5-Pha1","4066.43",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","43","4","3","Pha1-Pa4","2899.08",1,"Different","Different","Hit"
"D,2,IL","D","2","IL","Native","42","4","2","Pa4-Pa2","3731.92",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","42","4","2","Pa4-Pa2","3643.02",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","44","4","4","Pa5-Pha1","2872.30",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","41","4","1","Pha2-Pha1","2889.43",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","43","4","3","Pha1-Pa4","3019.00",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","11","1","1","Pha1-Pha2","2961.22",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","13","1","3","Pha1-Pa2","3191.12",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","12","1","2","Pa2-Pa4","2861.84",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","14","1","4","Pa2-Pha5","2939.11",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","24","2","4","Pa4-Pha1","3199.21",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","22","2","2","Pa5-Pa2","3019.37",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","21","2","1","Pha5-Pha1","3498.85",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","23","2","3","Pha2-Pa4","3046.22",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","31","3","1","Pha2-Pha5","3104.77",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","33","3","3","Pha5-Pa5","3016.30",1,"Different","Different","Hit"
"D,3,FM","D","3","FM","Native","32","3","2","Pa4-Pa5","3016.81",1,"Same","Same","CR"
"D,3,FM","D","3","FM","Native","34","3","4","Pa2-Pha2","3343.61",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","33","3","3","Pha5-Pa5","7572.74",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","34","3","4","Pa2-Pha2","8656.12",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","32","3","2","Pa4-Pa5","3470.87",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","31","3","1","Pha2-Pha5","3924.33",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","14","1","4","Pa2-Pha5","6071.13",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","12","1","2","Pa2-Pa4","3455.16",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","11","1","1","Pha1-Pha2","3328.92",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","13","1","3","Pha1-Pa2","3346.17",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","24","2","4","Pa4-Pha1","5218.42",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","21","2","1","Pha5-Pha1","3161.50",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","23","2","3","Pha2-Pa4","4949.23",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","22","2","2","Pa5-Pa2","2977.87",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","44","4","4","Pa5-Pha1","8672.53",1,"Different","Different","Hit"
"D,4,IM","D","4","IM","Native","42","4","2","Pa4-Pa2","5514.62",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","41","4","1","Pha2-Pha1","4619.04",1,"Same","Same","CR"
"D,4,IM","D","4","IM","Native","43","4","3","Pha1-Pa4","4782.23",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","31","3","1","Pha2-Pha5","3968.32",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","33","3","3","Pha5-Pa5","3529.11",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","32","3","2","Pa4-Pa5","3479.08",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","34","3","4","Pa2-Pha2","3666.76",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","44","4","4","Pa5-Pha1","3490.32",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","43","4","3","Pha1-Pa4","3711.03",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","42","4","2","Pa4-Pa2","3538.67",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","41","4","1","Pha2-Pha1","4028.68",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","14","1","4","Pa2-Pha5","3250.34",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","13","1","3","Pha1-Pa2","3388.11",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","11","1","1","Pha1-Pha2","3459.37",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","12","1","2","Pa2-Pa4","3297.90",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","21","2","1","Pha5-Pha1","3084.93",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","23","2","3","Pha2-Pa4","3285.36",1,"Different","Different","Hit"
"D,5,EM","D","5","EM","Native","22","2","2","Pa5-Pa2","3200.11",1,"Same","Same","CR"
"D,5,EM","D","5","EM","Native","24","2","4","Pa4-Pha1","3422.22",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","21","2","1","Pha5-Pha1","3678.13",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","22","2","2","Pa5-Pa2","-7151.20",0,"Same","Different","False+"
"D,6,PH","D","6","PH","Native","24","2","4","Pa4-Pha1","3786.40",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","23","2","3","Pha2-Pa4","3623.64",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","41","4","1","Pha2-Pha1","3134.62",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","42","4","2","Pa4-Pa2","3185.72",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","43","4","3","Pha1-Pa4","3276.78",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","44","4","4","Pa5-Pha1","3101.06",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","11","1","1","Pha1-Pha2","3572.31",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","13","1","3","Pha1-Pa2","3127.70",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","14","1","4","Pa2-Pha5","3560.91",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","12","1","2","Pa2-Pa4","4334.94",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","33","3","3","Pha5-Pa5","3339.08",1,"Different","Different","Hit"
"D,6,PH","D","6","PH","Native","32","3","2","Pa4-Pa5","3240.59",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","31","3","1","Pha2-Pha5","3450.99",1,"Same","Same","CR"
"D,6,PH","D","6","PH","Native","34","3","4","Pa2-Pha2","4819.65",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","44","4","4","Pa5-Pha1","4880.39",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","41","4","1","Pha2-Pha1","3082.82",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","42","4","2","Pa4-Pa2","3439.57",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","43","4","3","Pha1-Pa4","3321.21",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","11","1","1","Pha1-Pha2","3528.58",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","14","1","4","Pa2-Pha5","3351.52",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","13","1","3","Pha1-Pa2","3358.11",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","12","1","2","Pa2-Pa4","3147.84",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","34","3","4","Pa2-Pha2","2788.66",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","33","3","3","Pha5-Pa5","3298.48",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","32","3","2","Pa4-Pa5","3138.77",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","31","3","1","Pha2-Pha5","3264.42",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","24","2","4","Pa4-Pha1","3632.78",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","23","2","3","Pha2-Pa4","4217.05",1,"Different","Different","Hit"
"D,13,MR","D","13","MR","Native","21","2","1","Pha5-Pha1","3306.24",1,"Same","Same","CR"
"D,13,MR","D","13","MR","Native","22","2","2","Pa5-Pa2","3244.26",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","13","1","3","Pha1-Pa2","3340.98",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","11","1","1","Pha1-Pha2","2909.66",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","14","1","4","Pa2-Pha5","3142.32",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","12","1","2","Pa2-Pa4","2988.18",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","24","2","4","Pa4-Pha1","3060.87",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","22","2","2","Pa5-Pa2","2876.28",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","21","2","1","Pha5-Pha1","4557.47",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","23","2","3","Pha2-Pa4","2654.21",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","41","4","1","Pha2-Pha1","3435.27",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","43","4","3","Pha1-Pa4","2971.38",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","42","4","2","Pa4-Pa2","2994.81",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","44","4","4","Pa5-Pha1","3207.95",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","31","3","1","Pha2-Pha5","4721.11",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","32","3","2","Pa4-Pa5","2928.90",1,"Same","Same","CR"
"C,3,TC","C","3","TC","Native","34","3","4","Pa2-Pha2","3119.72",1,"Different","Different","Hit"
"C,3,TC","C","3","TC","Native","33","3","3","Pha5-Pa5","5559.34",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","Native","42","4","2","Pa4-Pa2","5376.81",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","43","4","3","Pha1-Pa4","5402.95",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","Native","41","4","1","Pha2-Pha1","-8733.15",0,"Same","Different","False+"
"C,4,MC","C","4","MC","Native","44","4","4","Pa5-Pha1","5197.25",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","Native","11","1","1","Pha1-Pha2","3790.47",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","13","1","3","Pha1-Pa2","-8890.63",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","Native","14","1","4","Pa2-Pha5","7563.28",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","Native","12","1","2","Pa2-Pa4","4987.68",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","22","2","2","Pa5-Pa2","7086.82",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","21","2","1","Pha5-Pha1","4746.91",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","24","2","4","Pa4-Pha1","-5584.50",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","Native","23","2","3","Pha2-Pa4","-5638.21",0,"Different","Same","Miss"
"C,4,MC","C","4","MC","Native","33","3","3","Pha5-Pa5","5963.79",1,"Different","Different","Hit"
"C,4,MC","C","4","MC","Native","32","3","2","Pa4-Pa5","4054.07",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","31","3","1","Pha2-Pha5","3661.70",1,"Same","Same","CR"
"C,4,MC","C","4","MC","Native","34","3","4","Pa2-Pha2","4397.77",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","22","2","2","Pa5-Pa2","3779.58",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","24","2","4","Pa4-Pha1","3501.93",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","21","2","1","Pha5-Pha1","3466.26",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","23","2","3","Pha2-Pa4","3285.76",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","43","4","3","Pha1-Pa4","5555.02",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","44","4","4","Pa5-Pha1","3686.13",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","42","4","2","Pa4-Pa2","3374.38",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","41","4","1","Pha2-Pha1","4653.03",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","13","1","3","Pha1-Pa2","-3275.33",0,"Different","Same","Miss"
"D,7,BB","D","7","BB","Native","12","1","2","Pa2-Pa4","3496.56",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","14","1","4","Pa2-Pha5","3170.01",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","11","1","1","Pha1-Pha2","4733.22",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","32","3","2","Pa4-Pa5","4273.82",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","34","3","4","Pa2-Pha2","4793.48",1,"Different","Different","Hit"
"D,7,BB","D","7","BB","Native","31","3","1","Pha2-Pha5","3416.59",1,"Same","Same","CR"
"D,7,BB","D","7","BB","Native","33","3","3","Pha5-Pa5","4091.34",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","21","2","1","Pha5-Pha1","3280.02",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","22","2","2","Pa5-Pa2","3400.70",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","24","2","4","Pa4-Pha1","3432.28",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","23","2","3","Pha2-Pa4","5769.02",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","43","4","3","Pha1-Pa4","3631.07",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","44","4","4","Pa5-Pha1","4101.04",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","42","4","2","Pa4-Pa2","3118.79",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","41","4","1","Pha2-Pha1","3179.09",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","13","1","3","Pha1-Pa2","3892.72",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","12","1","2","Pa2-Pa4","3139.76",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","14","1","4","Pa2-Pha5","4832.43",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","11","1","1","Pha1-Pha2","3304.45",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","33","3","3","Pha5-Pa5","4619.88",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","34","3","4","Pa2-Pha2","4213.19",1,"Different","Different","Hit"
"D,8,JB","D","8","JB","Native","32","3","2","Pa4-Pa5","3029.87",1,"Same","Same","CR"
"D,8,JB","D","8","JB","Native","31","3","1","Pha2-Pha5","3982.95",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","42","4","2","Pa4-Pa2","3721.52",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","44","4","4","Pa5-Pha1","3386.52",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","41","4","1","Pha2-Pha1","3142.57",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","43","4","3","Pha1-Pa4","3097.62",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","21","2","1","Pha5-Pha1","5621.97",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","23","2","3","Pha2-Pa4","3303.66",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","22","2","2","Pa5-Pa2","3991.39",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","24","2","4","Pa4-Pha1","3393.90",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","12","1","2","Pa2-Pa4","3065.43",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","14","1","4","Pa2-Pha5","3231.87",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","11","1","1","Pha1-Pha2","3108.38",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","13","1","3","Pha1-Pa2","3085.47",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","34","3","4","Pa2-Pha2","3094.47",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","Native","32","3","2","Pa4-Pa5","3232.35",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","31","3","1","Pha2-Pha5","3297.07",1,"Same","Same","CR"
"D,9,EB","D","9","EB","Native","33","3","3","Pha5-Pa5","3207.43",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","12","1","2","Pa2-Pa4","-6436.63",0,"Same","Different","False+"
"C,8,OH","C","8","OH","Native","13","1","3","Pha1-Pa2","3478.32",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","11","1","1","Pha1-Pha2","3204.98",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","14","1","4","Pa2-Pha5","3309.47",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","42","4","2","Pa4-Pa2","3449.06",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","41","4","1","Pha2-Pha1","3234.41",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","43","4","3","Pha1-Pa4","3073.01",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","44","4","4","Pa5-Pha1","4083.03",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","32","3","2","Pa4-Pa5","3109.56",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","34","3","4","Pa2-Pha2","3086.47",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","33","3","3","Pha5-Pa5","3784.52",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","31","3","1","Pha2-Pha5","4848.04",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","24","2","4","Pa4-Pha1","3608.08",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","21","2","1","Pha5-Pha1","4863.56",1,"Same","Same","CR"
"C,8,OH","C","8","OH","Native","23","2","3","Pha2-Pa4","4181.82",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","Native","22","2","2","Pa5-Pa2","4233.53",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","23","2","3","Pha2-Pa4","5018.99",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","24","2","4","Pa4-Pha1","3480.98",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","21","2","1","Pha5-Pha1","3640.39",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","22","2","2","Pa5-Pa2","3982.54",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","31","3","1","Pha2-Pha5","4065.80",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","34","3","4","Pa2-Pha2","4042.98",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","32","3","2","Pa4-Pa5","3472.71",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","33","3","3","Pha5-Pa5","4225.90",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","42","4","2","Pa4-Pa2","3603.52",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","41","4","1","Pha2-Pha1","4556.02",1,"Same","Same","CR"
"C,6,BS","C","6","BS","Native","44","4","4","Pa5-Pha1","3458.12",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","43","4","3","Pha1-Pa4","-4149.57",0,"Different","Same","Miss"
"C,6,BS","C","6","BS","Native","12","1","2","Pa2-Pa4","-4391.38",0,"Same","Different","False+"
"C,6,BS","C","6","BS","Native","14","1","4","Pa2-Pha5","4344.39",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","Native","11","1","1","Pha1-Pha2","-4630.00",0,"Same","Different","False+"
"C,6,BS","C","6","BS","Native","13","1","3","Pha1-Pa2","4771.73",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","13","1","3","Pha1-Pa2","3764.94",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","Native","11","1","1","Pha1-Pha2","3321.98",1,"Same","Same","CR"
